assessid,species,m_val,m_text
NWFSC-BGROCKPCOAST-1950-2011-STACHURA,Sebastes melanostomus,0.064,"M(female)=0.063, M(male)=0.065"
NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH,Sebastes melanops,0.155,"M(female)=0.18, M(male)=0.13"
SWFSC-STFLOUNSPCOAST-1970-2005-STANTON,Platichthys stellatus,0.375,"M(female)=0.3, M(male)=0.45"
NWFSC-WROCKPCOAST-1916-2011-STACHURA,Sebastes entomelas,0.1265,"M(female)=0.124, M(male)=0.129"
PFMC-PSOLEPCOAST-1930-2011-CHING,Eopsetta jordani,0.17,"M(female)=0.16, M(male)=0.18"
NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Atheresthes stomias,0.22,"M(female)=0.166, M(male)=0.274"
NWFSC-LINGCODSPCOAST-1928-2009-STACHURA,Ophiodon elongatus,0.25,"M(female)=0.18, M(male)=0.32"
NWFSC-LINGCODNPCOAST-1928-2009-STACHURA,Ophiodon elongatus,0.25,"M(female)=0.18, M(male)=0.32"
AFSC-ARFLOUNDGA-1958-2010-STACHURA,Atheresthes stomias,0.275,"M(female)=0.2, M(male)=0.35"
AFSC-ARFLOUNDBSAI-1970-2010-STACHURA,Atheresthes stomias,0.275,"M(female)=0.2, M(male)=0.35"
NWFSC-CHILISPCOAST-1892-2007-BRANCH,Sebastes goodei,0.235,"M(female)=0.22, M(male)=0.25"
NIWA-HOKIENZ-1970-2012-CORDUE,Macruronus novaezelandiae,0.275,"M(female)=0.25, F(male)=0.30"
NIWA-HOKIWNZ-1970-2012-CORDUE,Macruronus novaezelandiae,0.275,"M(female)=0.25, F(male)=0.30"
PFMC-CABEZNCAL-1930-2009-CHING,Scorpaenichthys marmoratus,0.275,"M(male)=0.3, M(female)=0.25"
NWFSC-CABEZORECOAST-1973-2009-STACHURA,Scorpaenichthys marmoratus,0.275,"M(male)=0.3, M(female)=0.25"
PFMC-CABEZSCAL-1930-2009-CHING,Scorpaenichthys marmoratus,0.275,"M(male)=0.3, M(female)=0.25"
NIWA-SOUTHHAKESA-1974-2011-CORDUE,Merluccius australis,0.19,"M(male)=0.20, M(female)=0.18"
SWFSC-STFLOUNNPCOAST-1970-2005-STANTON,Platichthys stellatus,0.375,"M(male)=0.45, M(female)=0.30"
IOTC-SKJCIO-1950-2010-CHING,Katsuwonus pelamis,0.8,M=~0.8 avg
AFSC-REYEROCKBSAI-1974-2011-STACHURA,Sebastes aleutianus,0.034,M=0.034
NIWA-BKCDLFENI-1923-2009-CORDUE,Epigonus telescopus,0.034,M=0.034
AFSC-REYEROCKGA-1974-2010-STACHURA,Sebastes aleutianus,0.034,M=0.034
CSIRO-OROUGHYSE-1978-2007-FULTON,Hoplostethus atlanticus,0.04,M=0.04
AFSC-NROCKBSAI-1974-2011-STACHURA,Sebastes polyspinis,0.0427,M=0.0427
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Allocyttus niger,0.044,M=0.044
NIWA-BLACKOREOPR-1974-2009-CORDUE,Allocyttus niger,0.044,M=0.044
NIWA-OROUGHYCR-1979-2006-CORDUE,Hoplostethus atlanticus,0.045,M=0.045
NIWA-OROUGHYNZMEC-1909-2011-CORDUE,Hoplostethus atlanticus,0.045,M=0.045
NEFSC-ACADREDGOMGB-1913-2007-MILLER,Sebastes fasciatus,0.05,M=0.05
NWFSC-SSTHORNHPCOAST-1901-2005-STANTON,Sebastolobus alascanus,0.05,M=0.05
AFSC-POPERCHGA-1959-2010-STACHURA,Sebastes alutus,0.06,M=0.06
NWFSC-CROCKPCOAST-1916-2011-STACHURA,Sebastes pinniger,0.06,M=0.06
AFSC-NROCKGA-1959-2010-STACHURA,Sebastes polyspinis,0.06,M=0.06
NZMFishINSHOREWG-BNSNZ-1935-2011-CORDUE,Hyperoglyphe antarctica,0.07,M=0.06-0.08
AFSC-PERCHEBSAI-1960-2011-STACHURA,Sebastes alutus,0.062,M=0.062
NIWA-SMOOTHOREOCR-1978-2010-CORDUE,Pseudocyttus maculatus,0.063,M=0.063
NIWA-SMOOTHOREOBP-1983-2008-CORDUE,Pseudocyttus maculatus,0.063,M=0.063
NIWA-SMOOTHOREOEPR-1973-2006-CORDUE,Pseudocyttus maculatus,0.063,M=0.063
NIWA-SMOOTHOREOSLD-1973-2007-CORDUE,Pseudocyttus maculatus,0.063,M=0.063
NIWA-SMOOTHOREOWECR-1965-2009-CORDUE,Pseudocyttus maculatus,0.063,M=0.063
NWFSC-SABLEFPCOAST-1900-2011-STACHURA,Anoplopoma fimbria,0.07,M=0.07
AFSC-DUSROCKGA-1973-2010-STACHURA,Sebastes variabilis,0.07,M=0.07
SEFSC-YEGROUPGM-1975-2009-HIVELY,Epinephelus flavolimbatus,0.073,M=0.073
NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN,Chrysophrys auratus,0.075,M=0.075
CSIRO-BIGHTREDSE-1958-2007-FULTON,Centroberyx gerrardi,0.1,M=0.075-0.125
AFSC-DSOLEGA-1978-2009-STACHURA,Microstomus pacificus,0.085,M=0.085
AFSC-SABLEFEBSAIGA-1958-2010-STACHURA,Anoplopoma fimbria,0.1,M=0.1
NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN,Pseudocaranx dentex,0.1,M=0.1
NIWA-TARAKNZ-1932-2007-CORDUE,Nemadactylus macropterus,0.1,M=0.1
CSIRO-MORWONGSE-1913-2007-FULTON,Nemadactylus macropterus,0.1,M=0.1
IATTC-BIGEYEEPAC-1975-2011-BRANCH,Thunnus obesus,0.175,M=0.1-0.25
SWFSC-DSOLEPCOAST-1910-2011-STACHURA,Microstomus pacificus,0.102,"M(female)=0.101, M(male)=0.103"
NWFSC-LSTHORNHPCOAST-1964-2012-HIVELY,Sebastolobus altivelis,0.11,M=0.11
SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN,Lutjanus analis,0.11,M=0.11
SEFSC-LISQUIDATLC-1963-2009-HIVELY,Loligo pealeii,3,M(weekly)=0.11 for non-spawning and M(weekly)=0.19-0.48 for spawning
AFSC-GHALBSAI-1960-2009-STANTON,Reinhardtius hippoglossoides,0.112,M=0.112
AFSC-YSOLEBSAI-1949-2010-STACHURA,Limanda aspera,0.12,M=0.12
SEFSC-SNOWGROUPSATLC-1974-2013-HIVELY,Epinephelus niveatus,0.12,M=0.12
NEFSC-SCALL5ZMAB-1964-2013-HIVELY,Placopecten magellanicus,0.135,M=0.12-0.15
MARAM-PTOOTHFISHPEI-1960-2013-Brandao,Dissostichus eleginoides,0.13,M=0.13
CSIRO-PTOOTHFISHMI-1975-2010-FAY,Dissostichus eleginoides,0.13,M=0.13
CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN,Dissostichus mawsoni,0.13,M=0.13
AFSC-ALPLAICBSAI-1972-2010-STACHURA,Pleuronectes quadrituberculatus,0.13,M=0.13
SEFSC-BLACKGROUPERGMSATL-1986-2008-THORSON,Mycteroperca bonaci,0.136,M=0.136
SEFSC-RGROUPSATL-1976-2009-HIVELY,Epinephelus morio,0.14,M=0.14
SEFSC-GAGGM-1963-2012-HIVELY,Mycteroperca microlepis,0.14,M=0.14
SPC-BIGEYECWPAC-1952-2010-CHING,Thunnus obesus,0.14,M=0.14 avg (age variant)
SPC-BIGEYEWPO-1952-2006-JENSEN,Thunnus obesus,0.14,M=0.14 avg (age variant)
AFSC-NRSOLEEBSAI-1975-2012-HIVELY,Lepidopsetta polyxystra,0.15,M=0.15
NEFSC-TILEMATLC-1915-2012-HIVELY,Lopholatilus chamaeleonticeps,0.15,M=0.15
NIWA-PAUANPAU5A-1965-2010-CORDUE,Haliotis iris,0.15,M=0.15
NIWA-PAUAPAU7-1965-2011-CORDUE,Haliotis iris,0.15,M=0.15
NIWA-PAUASPAU5A-1965-2009-CORDUE,Haliotis iris,0.15,M=0.15
ASMFC-LOBSTERGOM-1981-2007-STANTON,Homarus americanus,0.15,M=0.15
NEFSC-SURFMATLC-1965-2008-JACOBSON,Spisula solidissima,0.15,M=0.15
NEFSC-WITFLOUN5Y-1982-2008-WIGLEY,Glyptocephalus cynoglossus,0.15,M=0.15
SEFSC-GAGSATLC-1962-2005-JENSEN,Mycteroperca microlepis,0.15,M=0.15
IPHC-PHALNPAC-1888-2014-HIVELY,Hippoglossus stenolepis,0.225,M=0.15-0.30
NIWA-AUSSALMONNZ-1975-2006-JENSEN,Arripis trutta,0.18,M=0.18
NIWA-NZLINGLIN3-4-1968-2011-CORDUE,Genypterus blacodes,0.18,M=0.18
NIWA-NZLINGLIN5-6-1968-2011-CORDUE,Genypterus blacodes,0.18,M=0.18
AFSC-RKCRABBB-1960-2008-JENSEN,Paralithodes camtschaticus,0.18,M=0.18
AFSC-RKCRABNS-1976-2008-JENSEN,Paralithodes camtschaticus,0.18,M=0.18
NIWA-GSTRGZRSTA7-1964-2007-CORDUE,Kathetostoma giganteum,0.18,M=0.18
NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN,Genypterus blacodes,0.18,M=0.18
NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN,Genypterus blacodes,0.18,M=0.18
AFSC-WPOLLAI-1976-2013-CHING,Theragra chalcogramma,0.19,M=0.19
WGBFAS-HERR30-1972-2011-NEUBAUER,Clupea harengus,0.2,M=0.2
WGBFAS-HERRRIGA-1976-2011-NEUBAUER,Clupea harengus,0.2,M=0.2
NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD,Pomatomus saltatrix,0.2,M=0.2
NWFSC-PHAKEPCOAST-1966-2012-CHING,Merluccius productus,0.2,M=0.2
NEFSC-POLL5YZ-1960-2009-CHING,Pollachius virens,0.2,M=0.2
NIWA-SCMPBP-1985-2010-CORDUE,Metanephrops challengeri,0.2,M=0.2
NIWA-SCMPWHB-1985-2010-CORDUE,Metanephrops challengeri,0.2,M=0.2
NEFSC-AMPL5YZ-1960-2008-OBRIEN,Hippoglossoides platessoides,0.2,M=0.2
NEFSC-YELLCCODGOM-1935-2008-LEGAULT,Limanda ferruginea,0.2,M=0.2
NEFSC-YELLGB-1935-2008-BAUM,Limanda ferruginea,0.2,M=0.2
NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE,Urophycis tenuis,0.2,M=0.2
NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH,Raja rhina,0.2,M=0.2
NEFSC-CODGB-1976-2011-CHING,Gadus morhua,0.2,M=0.2
NEFSC-CODGOM-1981-2011-CHING,Gadus morhua,0.2,M=0.2
NEFSC-HAD5Y-1964-2011-CHING,Melanogrammus aeglefinus,0.2,M=0.2
NEFSC-HADGB-1931-2010-CHING,Melanogrammus aeglefinus,0.2,M=0.2
WGCSE-CODVIa-1981-2012-CHING,Gadus morhua,0.2,M=0.2
ICCAT-WMARLINATL-1956-2011-CHING,Tetrapturus albidus,0.2,M=0.2
AFSC-FLSOLEGA-1978-2010-STACHURA,Hippoglossoides elassodon,0.2,M=0.2
NEFSC-SCUPNWATLC-1960-2007-TERCEIRO,Stenotomus chrysops,0.2,M=0.2
AFSC-FLSOLEBSAI-1974-2010-STACHURA,Hippoglossoides elassodon,0.2,M=0.2
SWFSC-GOPHERSPCOAST-1965-2005-STANTON,Sebastes carnatus,0.2,M=0.2
CSIRO-NZLINGWSE-1968-2007-FULTON,Genypterus blacodes,0.25,M=0.2-0.3
IATTC-YFINEPAC-1975-2011-BRANCH,Thunnus albacares,0.45,M=0.2-0.7
SEFSC-GRAMBERSATLC-1946-2006-JENSEN,Seriola dumerili,0.615,M=0.2-1.03
SEFSC-VSNAPSATLC-1946-2008-STANTON,Rhomboplites aurorubens,0.22,M=0.22
CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,Platycephalus conatus,0.22,M=0.22
NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN,Genypterus blacodes,0.22,M=0.22
ISC-BMARLINPAC-1952-2010-CHING,Makaira nigricans,0.32,M=0.22-0.42 (age/sex specific)
SEFSC-RPORGYSATLC-1972-2012-HIVELY,Pagrus pagrus,0.225,M=0.225
AFSC-SNOWCRABBS-1978-2013-HIVELY,Chionoecetes opilio,0.23,M=0.23
AFSC-TANNERCRABBSAI-1949-2013-HIVELY,Chionoecetes bairdi,0.23,M=0.23
CSIRO-NZLINGESE-1968-2007-FULTON,Genypterus blacodes,0.24,M=0.24
NEFSC-SFLOUNMATLC-1940-2012-HIVELY,Paralichthys dentatus,0.25,M=0.25
NEFSC-WEAKFISHATLC-1981-2008-STANTON,Cynoscion regalis,0.25,M=0.25
CSIRO-SILVERFISHSE-1978-2006-FULTON,Seriolella punctata,0.25,M=0.25
NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN,Rexea solandri,0.25,M=0.25
IOTC-SWORDIO-1950-2010-CHING,Xiphias gladius,0.25,M=0.25
NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON,Hexagrammos decagrammus,0.26,M=0.26
NWFSC-ESOLEPCOAST-1876-2007-BRANCH,Parophrys vetulus,0.26,M=0.26
SEFSC-GRAMBERGM-1986-2004-JENSEN,Seriola dumerili,0.28,M=0.28
IOTC-YFINEIO-1972-2009-BRANCH,Thunnus albacares,0.28,M=0.28
SPC-YFINCWPAC-1952-2010-CHING,Thunnus albacares,0.28,M=0.28 avg (age variant)
NEFSC-WINFLOUN5Z-1964-2011-HIVELY,Pseudopleuronectes americanus,0.3,M=0.3
NEFSC-WINFLOUNSNEMATL-1980-2010-HIVELY,Pseudopleuronectes americanus,0.3,M=0.3
NEFSC-YELLSNEMATL-1935-2008-BAUM,Limanda ferruginea,0.3,M=0.3
ICCAT-ALBANATL-1950-2010-CHING,Thunnus alalunga,0.3,M=0.3
ISC-ALBANPAC-1952-2010-CHING,Thunnus alalunga,0.3,M=0.3
AFSC-WPOLLGA-1970-2014-HIVELY,Theragra chalcogramma,0.3,M=0.3
ISC-STMARLINWCNPAC-1951-2010-CHING,Kajikia audax,0.3,M=0.3
SPC-ALBASPAC-1965-2007-BRANCH,Thunnus alalunga,0.3,M=0.3
NMFS-STMARLINNPAC-1952-2004-BRANCH,Kajikia audax,0.3,M=0.3
MARAM-CTRACSA-1949-2013-Furman,Trachurus capensis,0.3,M=0.3
AFSC-ATKABSAI-1976-2011-STACHURA,Pleurogrammus monopterygius,0.3,M=0.3
AFSC-WPOLLEBS-1964-2013-CHING,Theragra chalcogramma,0.3,M=0.3
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,Micropogonias undulatus,0.3,M=0.3 (0.2-0.4)
CSIRO-TIGERFLATSE-1913-2006-FULTON,Neoplatycephalus richardsoni,0.33,M=0.33
AFSC-PCODBSAI-1964-2013-CHING,Gadus macrocephalus,0.34,M=0.34
DFO-PAC-PCODHS-1956-2005-COLLIE,Gadus macrocephalus,0.34,M=0.34
DFO-PAC-PCODWCVANI-1956-2002-COLLIE,Gadus macrocephalus,0.34,M=0.34
ISC-SWORDNPAC-1952-2010-CHING,Xiphias gladius,0.35,M=0.35
CSIRO-WAREHOUESE-1984-2006-FULTON,Seriolella brama,0.46,M=0.37-0.55
CSIRO-WAREHOUWSE-1984-2006-FULTON,Seriolella brama,0.46,M=0.37-0.55
AFSC-PCODGA-1977-2014-HIVELY,Gadus macrocephalus,0.38,M=0.38
SEFSC-SPANMACKGM-1886-2011-HIVELY,Scomberomorus maculatus,0.38,M=0.38
SEFSC-SPANMACKSATLC-1950-2012-HIVELY,Scomberomorus maculatus,0.38,M=0.38
SEFSC-BSBASSSATL-1950-2010-HIVELY,Centropristis striata,0.38,M=0.38
NEFSC-BSBASSMATLC-1968-2007-SHEPHERD,Centropristis striata,0.4,M=0.40
IOTC-BIGEYEIO-1950-2010-CHING,Thunnus obesus,0.4,M=0.40
SPC-SKJCWPAC-1950-2011-CHING,Katsuwonus pelamis,0.45,M=0.45 avg (age variant)
SWFSC-CMACKPCOAST-1929-2008-PINSKY,Scomber japonicus,0.5,M=0.5
IATTC-STMARLINNEPAC-1954-2009-BRANCH,Kajikia audax,0.5,M=0.5
CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI,Engraulis encrasicolus,0.56,M=0.56
CSIRO-SWHITSE-1945-2007-FULTON,Sillago flindersi,0.7,M=0.7
CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI,Sardina pilchardus,0.77,M=0.77
NEFSC-BUTTERGOMCHATT-1965-2012-HIVELY,Peprilus triacanthus,1.22,M=1.22
DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,Sebastes pinniger,NA,M=very low
MARAM-CHAKESA-1917-2013-Rademeyer,Merluccius capensis,NA,not specified
MARAM-DEEPCHAKESA-1917-2013-Rademeyer,Merluccius paradoxus,NA,not specified
SWFSC-CALSCORPSCAL-1990-2005-STANTON,Scorpaena guttata,NA,not specified
FAO-SPNWA-SARDINWA-1990-2010-CHING,Sardinella spp,NA,not specified
CCSBT-SC-SBT-1950-2011-CHING,Thunnus maccoyii,NA,not specified
ICCAT-ATBTUNAWATL-1950-2010-CHING,Thunnus thynnus,NA,not specified
ISC-PACBTUNA-1952-2008-CHING,Thunnus orientalis,NA,not specified
FAO-SPNWA-SARDWAZC-1990-2010-CHING,Sardina pilchardus,NA,not specified
HAWG-HERR2224IIIa-1991-2011-NEUBAUER,Clupea harengus,NA,not specified
NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM,Sebastes spp,NA,not specified
NAFO-SC-YELL3LNO-1960-2009-BAUM,Limanda ferruginea,NA,not specified
VNIRO-WPOLLNAVAR-1994-2004-JENSEN,Theragra chalcogramma,NA,not specified
VNIRO-WPOLLNSO-1963-2012-CHING,Theragra chalcogramma,NA,not specified
VNIRO-WPOLLWBS-1970-2008-CHING,Theragra chalcogramma,NA,not specified
FAO-SPNWA-RSARDINWA-1990-2010-CHING,Sardinella aurita,NA,not specified
IMARPE-PANCHPERUNC-1959-2008-HIVELY,Engraulis ringens,NA,not specified
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,NA,not specified
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,NA,not specified
INIDEP-PATGRENADIERSARG-1983-2006-Parma,Macruronus magellanicus,NA,not specified
DFO-MAR-HAD4X5Y-1970-2011-CHING,Melanogrammus aeglefinus,NA,not specified
DFO-PAC-SABLEFPCAN-1913-2010-HIVELY,Anoplopoma fimbria,NA,not specified